"obs","InvEventFK","InvCount","InvName","sitetaxa","newtaxa","sing_doub","uniq_dup"
"1",199,"CBay13_0039",1,"Ablabesmyia","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"2",214,"CBay13_0115",1,"Ablabesmyia","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"3",2890,"CBay13_0109",2,"Ablabesmyia","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"4",1530,"CBay13_1634",1,"Ablabesmyia annulata","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"5",160,"CBay13_0109",1,"Ablabesmyia annulata","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"6",198,"CBay13_0039",1,"Ablabesmyia annulata","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"7",213,"CBay13_0115",1,"Ablabesmyia annulata","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"8",2989,"CBay13_0073",2,"Ablabesmyia annulata","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"9",346,"CBay13_0182",1,"Ablabesmyia annulata","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"10",46,"CBay13_0066",1,"Ablabesmyia annulata","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"11",942,"CBay13_0420",1,"Ablabesmyia annulata","Ablabesmyia annulata","Ablabesmyia annulata",0,0
"12",1115,"CBay13_0353",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"13",1130,"CBay13_0209",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"14",1166,"CBay13_0265",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"15",1258,"CBay13_0145",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"16",1284,"CBay13_0049",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"17",1296,"CBay13_0004",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"18",1310,"CBay13_0162",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"19",1319,"CBay13_0055",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"20",135,"CBay13_0027",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"21",1360,"CBay13_0268",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"22",1411,"CBay13_0016",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"23",1432,"CBay13_0104",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"24",1439,"CBay13_0047",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"25",146,"CBay13_0091",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"26",1655,"CBay13_0200",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"27",1678,"CBay13_0022",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
