"InvEventFK","newtaxa","InvCount.sum"
"CBay13_0001","Amnicola limosa",8
"CBay13_0001","Caecidotea racovitzai",3
"CBay13_0001","Caenis hilaris",9
"CBay13_0001","Chironomus",5
"CBay13_0001","Cladotanytarsus mancus group",2
"CBay13_0001","Cladotanytarsus Species Group B",2
"CBay13_0001","Dicrotendipes",5
"CBay13_0001","Enchytraeidae",2
"CBay13_0001","Gammarus fasciatus",32
"CBay13_0001","Limnodrilus hoffmeisteri",37
"CBay13_0001","Musculium transversum",1
"CBay13_0001","Nematoda",4
"CBay13_0001","Paracladopelma",2
"CBay13_0001","Phylocentropus placidus",4
"CBay13_0001","Pisidium fallax",11
"CBay13_0001","Sparbarus lacustris",1
"CBay13_0001","Stictochironomus",14
"CBay13_0001","Tanytarsus",3
"CBay13_0002","Amnicola limosa",2
"CBay13_0002","Arcteonais lomondi",31
"CBay13_0002","Cincinnatia cincinnatiensis",29
"CBay13_0002","Cryptochironomus",3
"CBay13_0002","Gammarus fasciatus",8
"CBay13_0002","Gyraulus parvus",1
"CBay13_0002","Heterotrissocladius marcidus group",3
"CBay13_0002","Limnodrilus hoffmeisteri",20
"CBay13_0002","Musculium transversum",9
"CBay13_0002","Nematoda",1
"CBay13_0002","Oecetis nocturna",1
"CBay13_0002","Pisidium casertanum",1
"CBay13_0002","Pisidium compressum",1
"CBay13_0002","Pisidium conventus",1
"CBay13_0002","Pisidium fallax",98
"CBay13_0002","Pisidium lilljeborgi f. cristatum",1
"CBay13_0002","Pisidium nitidum",1
"CBay13_0002","Placobdella",1
"CBay13_0002","Polypedilum scalaenum group",1
"CBay13_0002","Sphaerium striatinum",3
"CBay13_0002","Spirosperma ferox",7
"CBay13_0002","Valvata sincera",2
"CBay13_0002","Valvata tricarinata",3
"CBay13_0003","Diporeia",109
"CBay13_0003","Dubiraphia",1
"CBay13_0003","Hexagenia limbata",1
"CBay13_0003","Limnodrilus hoffmeisteri",35
"CBay13_0003","Nematoda",26
"CBay13_0003","Paracladopelma",1
"CBay13_0003","Pisidium casertanum",92
"CBay13_0003","Procladius",5
"CBay13_0003","Protanypus",5
"CBay13_0003","Stictochironomus",1
"CBay13_0003","Tanytarsus",3
"CBay13_0003","Tubificinae With setal hair chaeta",18
"CBay13_0004","Ablabesmyia annulata",1
"CBay13_0004","Arcteonais lomondi",1
"CBay13_0004","Aulodrilus americanus",1
"CBay13_0004","Bythotrephes longimanus",2
"CBay13_0004","Caecidotea racovitzai",1
"CBay13_0004","Cryptotendipes",1
