SiteCodeKey,Clay,Organic,Wood,Gravel,Silt,Sand,Rock
CB13-0003,4,0,0,0,0,0,0
CB13-0004,4,0,0,0,0,0,0
CB13-0011,4,0,0,0,0,0,0
CB13-0017,3,1,0,0,0,0,0
CB13-0019,3,1,0,0,0,0,0
CB13-0021,3,1,0,0,0,0,0
CB13-0028,4,0,0,0,0,0,0
CB13-0030,3,0,0,1,0,0,0
CB13-0038,4,0,0,0,0,0,0
CB13-0039,4,0,0,0,0,0,0
CB13-0040,4,0,0,0,0,0,0
CB13-0042,3,1,0,0,0,0,0
CB13-0046,3,0,0,1,0,0,0
CB13-0047,3,1,0,0,0,0,0
CB13-0056,4,0,0,0,0,0,0
CB13-0059,4,0,0,0,0,0,0
CB13-0060,3,1,0,0,0,0,0
CB13-0062,4,0,0,0,0,0,0
CB13-0063,3,1,0,0,0,0,0
CB13-0065,0,0,0,1,3,0,0
CB13-0067,4,0,0,0,0,0,0
CB13-0068,3,1,0,0,0,0,0
CB13-0070,4,0,0,0,0,0,0
CB13-0079,4,0,0,0,0,0,0
CB13-0084,4,0,0,0,0,0,0
CB13-0111,3,1,0,0,0,0,0
CB13-0116,3,1,0,0,0,0,0
CB13-0120,4,0,0,0,0,0,0
CB13-0123,4,0,0,0,0,0,0
CB13-0172,3,0,0,0,1,0,0
CB13-0175,3,0,0,0,1,0,0
CB13-0193,3,1,0,0,0,0,0
CB13-0268,2,0,0,0,2,0,0
CB13-0308,4,0,0,0,0,0,0
CB13-0318,3,1,0,0,0,0,0
CB13-0420,3,1,0,0,0,0,0
CB13-1506,3,1,0,0,0,0,0
CB13-1511,3,1,0,0,0,0,0
CB13-1513,4,0,0,0,0,0,0
CB13-1517,4,0,0,0,0,0,0
CB13-1521,4,0,0,0,0,0,0
CB13-1527,4,0,0,0,0,0,0
CB13-1540,4,0,0,0,0,0,0
CB13-1553,4,0,0,0,0,0,0
CB13-1555,4,0,0,0,0,0,0
CB13-1572,4,0,0,0,0,0,0
CB13-1574,3,1,0,0,0,0,0
CB13-1575,4,0,0,0,0,0,0
CB13-1580,4,0,0,0,0,0,0
CB13-1591,3,1,0,0,0,0,0
CB13-1594,3,1,0,0,0,0,0
CB13-1600,4,0,0,0,0,0,0
CB13-1603,4,0,0,0,0,0,0
CB13-1604,4,0,0,0,0,0,0
CB13-1605,4,0,0,0,0,0,0
CB13-1607,4,0,0,0,0,0,0
CB13-1619,4,0,0,0,0,0,0
CB13-1634,4,0,0,0,0,0,0
CB13-1637,4,0,0,0,0,0,0
CB13-1673,4,0,0,0,0,0,0
CB13-0008,0,0,0,3,0,1,0
CB13-0164,0,0,0,3,0,1,0
CB13-0197,0,0,0,3,0,1,0
CB13-0269,0,1,0,3,0,0,0
CB13-0277,0,0,0,3,0,1,0
CB13-0016,0,2,0,0,0,2,0
CB13-0055,2,2,0,0,0,0,0
CB13-0075,0,3,0,0,1,0,0
CB13-0107,0,3,0,0,1,0,0
CB13-0127,2,2,0,0,0,0,0
CB13-0139,0,2,0,0,2,0,0
CB13-0328,0,0,3,0,0,1,0
CB13-1504,0,0,3,0,0,1,0
CB13-1552,0,2,0,0,0,2,0
CB13-0002,0,0,0,0,0,4,0
CB13-0010,0,0,0,0,0,4,0
CB13-0020,0,0,0,0,0,4,0
CB13-0023,0,0,0,0,0,4,0
CB13-0025,0,0,0,0,0,4,0
CB13-0026,0,0,0,0,0,4,0
CB13-0031,0,0,0,0,0,4,0
CB13-0032,0,0,0,0,0,4,0
CB13-0034,0,0,0,0,0,4,0
CB13-0035,0,0,0,0,0,4,0
CB13-0041,0,0,0,0,0,4,0
CB13-0045,0,0,0,0,0,4,0
CB13-0054,0,0,0,0,0,4,0
CB13-0057,0,0,0,0,0,4,0
CB13-0058,0,0,0,0,0,4,0
CB13-0061,0,0,0,0,0,4,0
CB13-0064,0,0,0,0,0,4,0
CB13-0066,0,0,0,0,0,4,0
CB13-0069,0,0,0,0,0,4,0
CB13-0073,0,0,0,0,0,4,0
CB13-0074,0,0,0,0,0,4,0
CB13-0076,0,0,0,0,0,4,0
CB13-0077,0,0,0,0,0,4,0
CB13-0083,0,0,0,0,0,4,0
CB13-0086,0,0,0,0,0,4,0
CB13-0088,0,0,0,0,0,4,0
CB13-0090,0,0,0,0,0,4,0
CB13-0092,0,0,0,0,0,4,0
CB13-0094,0,0,0,0,0,4,0
CB13-0095,0,0,0,0,0,4,0
CB13-0097,0,0,0,0,0,4,0
CB13-0101,0,0,0,0,0,4,0
CB13-0105,0,0,0,0,0,4,0
CB13-0117,0,0,0,0,0,4,0
CB13-0121,0,0,0,0,0,4,0
CB13-0126,0,0,0,0,0,4,0
CB13-0136,0,0,0,0,0,4,0
CB13-0140,0,0,0,0,0,4,0
CB13-0141,0,0,0,0,0,4,0
CB13-0143,0,0,0,0,0,4,0
CB13-0147,0,0,0,0,0,4,0
CB13-0150,0,0,0,0,0,4,0
CB13-0152,0,0,0,0,0,4,0
CB13-0153,0,0,0,0,0,4,0
CB13-0155,0,0,0,0,0,4,0
CB13-0156,0,0,0,0,0,4,0
CB13-0157,0,0,0,0,0,4,0
CB13-0158,0,0,0,0,0,4,0
CB13-0161,0,0,0,0,0,4,0
CB13-0167,0,0,0,0,0,4,0
CB13-0168,0,0,0,0,0,4,0
CB13-0174,0,0,0,0,0,4,0
CB13-0176,0,0,0,0,0,4,0
CB13-0177,0,0,0,0,0,4,0
CB13-0180,0,0,0,0,0,4,0
CB13-0182,0,0,0,0,0,4,0
CB13-0185,0,0,0,0,0,4,0
CB13-0202,0,0,0,0,0,4,0
CB13-0204,0,0,0,0,0,4,0
