InvEventFK,POINT_X,POINT_Y
CB13-0001,413065.0593,1141426.82
CB13-0002,424822.6871,1149686.84
CB13-0003,422408.241,1155463.803
CB13-0004,417195.8795,1145592.052
CB13-0005,421161.8715,1146018.954
CB13-0006,420828.9234,1149961.373
CB13-0007,423226.2721,1152786.161
CB13-0008,416431.2155,1142122.897
CB13-0009,427043.1226,1147329.24
CB13-0010,424869.4392,1155995.794
CB13-0011,420682.435,1155806.205
CB13-0013,427571.3643,1147205.216
CB13-0014,425898.9613,1153002.328
CB13-0015,415246.5397,1146009.23
CB13-0016,416572.4603,1149722.957
CB13-0017,415068.2497,1141343.228
CB13-0018,422340.1988,1147790.274
CB13-0019,423185.7184,1156376.414
CB13-0020,413606.029,1144264.664
CB13-0021,419564.7285,1143914.672
CB13-0022,419875.7021,1151345.46
CB13-0023,424574.5218,1153637.652
CB13-0024,417446.4429,1149900.601
CB13-0025,428950.0696,1151350.212
CB13-0026,426261.6086,1154658.878
CB13-0027,430864.8342,1148972.3
CB13-0028,416344.3698,1148646.687
CB13-0029,428087.8071,1149361.903
CB13-0030,420960.4623,1153818.801
CB13-0031,414583.546,1146986.147
CB13-0032,413210.933,1144283.903
CB13-0033,423768.0961,1144667.543
CB13-0034,424086.8972,1149424.32
CB13-0035,423741.5209,1156350.035
CB13-0037,425156.7748,1146451.226
CB13-0038,421985.1709,1152409.45
CB13-0039,423149.8995,1155117.831
CB13-0040,419063.2899,1150210.923
CB13-0041,428240.5811,1152320.529
CB13-0042,426453.8615,1153630.566
CB13-0044,418305.2318,1147660.103
CB13-0045,429809.1166,1149033.386
CB13-0046,421710.2554,1153908.092
CB13-0047,414706.0659,1145510.961
CB13-0048,412248.6802,1142530.543
CB13-0049,420193.6197,1144431.068
CB13-0050,420892.1274,1147643.888
CB13-0051,423545.6878,1154085.072
CB13-0052,417376.5156,1142998.504
CB13-0053,427391.0574,1148476.518
CB13-0054,428054.5559,1152531.779
CB13-0055,419758.4252,1155925.607
CB13-0056,415325.7529,1148164.172
CB13-0057,429329.2425,1150865.601
CB13-0058,425473.6078,1155152.335
CB13-0059,415499.0528,1144874.001
CB13-0060,419093.7823,1149212.563
CB13-0061,427345.9312,1152035.243
CB13-0062,420459.8273,1155076.078
CB13-0063,417198.4532,1145968.37
CB13-0064,412585.2914,1143635.473
CB13-0065,414422.5119,1140886.679
CB13-0066,426152.5704,1150911.379
CB13-0067,422391.084,1155728.259
