InvEventFK,DistMarina4,DistMarina3
CB13-0001,3441.841759,3441.841759
CB13-0002,7686.222997,7686.222997
CB13-0003,7476.748431,7476.748431
CB13-0004,3546.405812,3546.405812
CB13-0005,5739.263858,5739.263858
CB13-0006,3677.112764,3677.112764
CB13-0007,6625.041787,6625.041787
CB13-0008,0,0
CB13-0009,10286.83275,10286.83275
CB13-0010,8019.038168,9492.05075
CB13-0011,6669.99172,6669.99172
CB13-0013,10829.74548,10829.74548
CB13-0014,9206.243468,9206.243468
CB13-0015,4057.754334,4057.754334
CB13-0016,717.8114755,717.8114755
CB13-0017,1570.966696,1570.966696
CB13-0018,5690.835735,5690.835735
CB13-0019,7066.625809,8672.229766
CB13-0020,3547.616712,3547.616712
CB13-0021,3611.391501,3611.391501
CB13-0022,2975.005561,2975.005561
CB13-0023,8205.657447,8205.657447
CB13-0024,367.7137437,367.7137437
CB13-0025,11868.56507,11868.56507
CB13-0026,9853.528439,10170.23859
CB13-0027,13774.31455,13774.31455
CB13-0028,1693.943334,1693.943334
CB13-0029,10970.83215,10970.83215
CB13-0030,5291.444178,5291.444178
CB13-0031,4065.017663,4065.017663
CB13-0032,3881.390953,3881.390953
CB13-0033,7773.636973,7773.636973
CB13-0034,6972.503598,6972.503598
CB13-0035,7256.118636,9050.035566
CB13-0037,8812.953819,8812.953819
CB13-0038,5337.70203,5337.70203
CB13-0039,7791.076715,7791.076715
CB13-0040,1906.189251,1906.189251
CB13-0041,11307.8681,11307.8681
CB13-0042,9938.228876,9938.228876
CB13-0044,2721.951616,2721.951616
CB13-0045,12715.52074,12715.52074
CB13-0046,5910.822977,5910.822977
CB13-0047,3798.990663,3798.990663
CB13-0048,4209.025103,4209.025103
CB13-0049,4415.731348,4415.731348
CB13-0050,4488.379776,4488.379776
CB13-0051,7511.30783,7511.30783
CB13-0052,1288.179922,1288.179922
CB13-0053,10379.07017,10379.07017
CB13-0054,11168.30132,11168.30132
CB13-0055,6339.478076,6339.478076
CB13-0056,2690.448631,2690.448631
CB13-0057,12208.19565,12208.19565
CB13-0058,9043.219672,9714.107694
CB13-0059,2901.28524,2901.28524
CB13-0060,2142.695439,2142.695439
CB13-0061,10374.38739,10374.38739
CB13-0062,5936.768782,5936.768782
CB13-0063,3914.560573,3914.560573
CB13-0064,4138.184542,4138.184542
CB13-0065,2359.520171,2359.520171
CB13-0066,9038.00669,9038.00669
CB13-0067,7543.144072,7655.04533
CB13-0068,1290.844578,1290.844578
CB13-0069,5362.856278,5362.856278
CB13-0070,3907.066486,3907.066486
CB13-0072,451.0241832,451.0241832
CB13-0073,10906.15408,10906.15408
CB13-0074,8391.651125,9736.597449
CB13-0075,13738.71826,13738.71826
CB13-0076,2725.652272,2725.652272
CB13-0077,11277.71153,11277.71153
CB13-0079,3707.411118,3707.411118
CB13-0083,7604.371333,9181.256194
CB13-0084,2258.40914,2258.40914
CB13-0085,9896.245561,9896.245561
CB13-0086,2875.812863,2875.812863
CB13-0087,7530.319685,7530.319685
CB13-0088,314.919723,314.919723
CB13-0090,9743.064468,10484.04093
CB13-0091,13943.57778,13943.57778
CB13-0092,3777.752377,3777.752377
CB13-0093,11082.66016,11082.66016
CB13-0094,4557.283315,4557.283315
CB13-0095,4278.755804,4278.755804
CB13-0097,6772.217403,6772.217403
CB13-0100,1441.251497,1441.251497
CB13-0101,8764.167225,8764.167225
CB13-0102,5694.553033,5694.553033
CB13-0104,1218.68015,1218.68015
CB13-0105,11281.55265,11281.55265
CB13-0107,14919.49709,14919.49709
CB13-0109,12932.09443,12932.09443
CB13-0111,3366.077557,3366.077557
CB13-0113,4909.620704,4909.620704
CB13-0114,3303.753664,3303.753664
CB13-0115,7726.753062,7726.753062
CB13-0116,820.5163715,820.5163715
CB13-0117,9813.06535,9813.06535
CB13-0118,10934.95515,10934.95515
CB13-0120,2040.951073,2040.951073
CB13-0121,12435.83706,12435.83706
CB13-0123,2979.212073,2979.212073
CB13-0126,4805.07112,4805.07112
CB13-0127,3831.72811,3831.72811
CB13-0129,2966.927563,2966.927563
CB13-0135,7938.83098,7938.83098
CB13-0136,554.6613664,554.6613664
CB13-0138,10364.22863,10364.22863
CB13-0139,13752.77124,13752.77124
CB13-0140,2385.170914,2385.170914
CB13-0141,11570.0939,11570.0939
CB13-0143,4194.076984,4194.076984
CB13-0144,751.4788959,751.4788959
CB13-0145,6580.211213,6580.211213
CB13-0147,7789.174212,9342.978599
CB13-0149,10172.89193,10172.89193
CB13-0150,3389.04728,3389.04728
CB13-0152,1665.51559,1665.51559
CB13-0153,11507.84407,11507.84407
CB13-0155,14460.43764,14460.43764
CB13-0156,3270.013123,3270.013123
CB13-0157,12231.37684,12231.37684
CB13-0158,3765.929231,3765.929231
CB13-0161,6261.008304,6261.008304
